"ObjectID","Mapped","Crash Date","City/Town","Address","AOT Route","Crash Type","Collision Direction","Weather","Road Group","Report Number","Reporting Agency","Road Group ID","AOT Actual Milepoint","Animal","Time of Day","Intersection With","Impairment","Involving","Non Reportable Address","Reporting Agency ID","Road Characteristics","Road Condition","Street Address","Surface Condition","AOT Route ID","Coordinates"
"8012182","","January 1, 2025 at 12:55 AM","Burlington","225 S Willard St","US-7","Property Damage Only","Rear End","Clear","State Highway numbered route, Class 1 TH","25BU000006","Burlington PD","11","1.977","None/Other","Night","225 S Willard St","None","None","","VT0040100","Four-way Intersection","None","225 S Willard St","Dry","0070","44.47412095019624,-73.2053408276283"
"8013282","","January 1, 2025 at 4:43 AM","Burlington","26 Park St","PARK ST.","Property Damage Only","Single Vehicle Crash","Rain","Federal Aid Secondary System (Class 2 TH)","25BU000021","Burlington PD","3","0.059","None/Other","Night","Monroe St","None","None","","VT0040100","T - Intersection","None","26 Park St","Wet","U5036","44.48122318509081,-73.21908839479713"
"8015356","","January 1, 2025 at 7:03 AM","Burlington","S Prospect St","S PROSPECT ST.","Injury","Head On","Cloudy","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU000023","Burlington PD","2","0.102","None/Other","Day","College st","None","None","","VT0040100","T - Intersection","None","S Prospect St","Dry","U5050","44.47785492128403,-73.20058277803552"
"8013161","","January 1, 2025 at 5:38 PM","Burlington","30 Main St","BATTERY ST","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU000059","Burlington PD","2","999.99","None/Other","Night","Battery St","None","None","","VT0040100","Not at a Junction","","30 Main St","","0000","44.47611262021591,-73.21871117906292"
"8010702","","January 2, 2025 at 11:20 AM","Burlington","111 Colchester Ave","Unknown","Property Damage Only","Other - Explain in Narrative","Clear","Other Public Roadway (Rest Areas, Shopping Center - anything open to public)","25UV000025","UVM Police","9","999.99","None/Other","Day","UVM Medical Center","None","None","","VT0041100","Parking Lot","Unknown","111 Colchester Ave","Dry","0000","44.47920048103553,-73.19528107329388"
"8012257","","January 2, 2025 at 3:51 PM","Burlington","617 Riverside Ave","RIVERSIDE AVE","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU000122","Burlington PD","2","0.73","None/Other","Day","617 Riverside Ave","None","None","","VT0040100","T - Intersection","","617 Riverside Ave","","0000","44.48966737353855,-73.20579354500866"
"8012717","","January 3, 2025 at 2:35 PM","Burlington","1127 North Ave","Unknown","Property Damage Only","","","Other Public Roadway (Rest Areas, Shopping Center - anything open to public)","25BU000179","Burlington PD","9","999.99","None/Other","Day","Hannafords Parking Lot","None","None","","VT0040100","Parking Lot","","1127 North Ave","","0000","44.50602011598064,-73.24640550756972"
"8011751","","January 4, 2025 at 9:23 PM","Burlington","North Ave","NORTH AVE","Property Damage Only","","","Street or Town Highways in FA Urban Area","25BU000269","Burlington PD","5","999.99","None/Other","Night","Shore Rd","None","None","","VT0040100","Four-way Intersection","","North Ave","","0000","44.509374260744295,-73.24818385683069"
"8014136","","January 6, 2025 at 8:08 AM","Burlington","505 Riverside Ave","US-7","Property Damage Only","Rear End","Clear","State Highway numbered route, Class 1 TH","25BU000336","Burlington PD","11","3.225","None/Other","Day","N Prospect St","None","None","","VT0040100","Not at a Junction","","505 Riverside Ave","Wet","0070","44.48894051703373,-73.20231642046905"
"8015522","","January 6, 2025 at 11:25 AM","Burlington","Shelburne St / Flynn Ave","US-7","Property Damage Only","No Turns, Thru moves only, Broadside ^<","Clear","State Highway numbered route, Class 1 TH","25BU000345","Burlington PD","11","0.634","None/Other","Day","Protcor Ave","None","None","","VT0040100","Four-way Intersection","Road Surface Condition(wet, icy, snow, slush, etc)","Shelburne St / Flynn Ave","Wet","0070","44.45496666558435,-73.20861901167939"
"8014121","","January 7, 2025 at 7:29 AM","Burlington","Riverside Ave","RIVERSIDE AVE","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU000402","Burlington PD","2","999.99","None/Other","Day","Barrett St","None","None","","VT0040100","Four-way Intersection","","Riverside Ave","","0000","44.48793658085918,-73.1867480342594"
"8014235","","January 7, 2025 at 11:20 AM","Burlington","454 Riverside Ave","Unknown","Property Damage Only","Rear-to-rear","Clear","Other Public Roadway (Rest Areas, Shopping Center - anything open to public)","25BU000420","Burlington PD","9","999.99","None/Other","Day","Parking Lot","None","Heavy Truck","","VT0040100","Parking Lot","None","454 Riverside Ave","Wet","0000","44.48817717048513,-73.2004792998377"
"8014810","","January 7, 2025 at 1:56 PM","Burlington","Main St","US-2","Property Damage Only","Rear End","Clear","State Highway numbered route, Class 1 TH","25UV000122","UVM Police","11","0.533","None/Other","Day","University Heights","None","None","","VT0041100","T - Intersection","None","Main St","Dry","0020","44.474780581116185,-73.19518410929861"
"8015386","","January 7, 2025 at 2:20 PM","Burlington","Park St","PARK ST.","Injury","Same Direction Sideswipe","Cloudy","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU000440","Burlington PD","2","0.065","None/Other","Day","Monroe St","None","None","","VT0040100","Not at a Junction","Road Surface Condition(wet, icy, snow, slush, etc)","Park St","Snow","U5036","44.481321001476076,-73.21909430827534"
"8011315","","January 8, 2025 at 10:06 AM","Burlington","193 Shelburne St","US-7","Injury","Other - Explain in Narrative","Clear","State Highway numbered route, Class 1 TH","25BU000482","Burlington PD","11","0.985","None/Other","Day","In Front Of 193 Shelburne St","None","Pedestrian","","VT0040100","Not at a Junction","None","193 Shelburne St","Wet","0070","44.459938227250326,-73.20814887286335"
"8014307","","January 8, 2025 at 11:47 AM","Burlington","170 Elmwood Ave","ELMWOOD AVE","Property Damage Only","","","Street or Town Highways in FA Urban Area","25BU000493","Burlington PD","5","999.99","None/Other","Day","170 Elmwood Ave","None","None","","VT0040100","Not at a Junction","","170 Elmwood Ave","","0000","44.48524111762141,-73.21392049050482"
"8015278","","January 8, 2025 at 6:08 PM","Burlington","71 S Union St","Unknown","Property Damage Only","","","Other Public Roadway (Rest Areas, Shopping Center - anything open to public)","25BU000522","Burlington PD","9","999.99","None/Other","Night","71 S Union St","None","None","","VT0040100","Parking Lot","","71 S Union St","","0000","44.478375938382875,-73.20936194643004"
"8013955","","January 8, 2025 at 6:10 PM","Burlington","Colchester Ave","COLCHESTER AVE","Property Damage Only","No Turns, Thru moves only, Broadside ^<","Freezing Precipitation","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU000524","Burlington PD","2","0.437","None/Other","Night","East Ave","Alcohol","None","","VT0040100","T - Intersection","None","Colchester Ave","Snow","0000","44.482216163126886,-73.19268333058365"
"8011709","","January 8, 2025 at 9:37 PM","Burlington","Riverside Ave","RIVERSIDE AVE","Property Damage Only","","","Private Property (Driveways)","25BU000530","Burlington PD","8","999.99","None/Other","Night","Hillside Ter","None","None","","VT0040100","Driveway","","Riverside Ave","","0000","44.48788689032165,-73.19644028702643"
"8012344","","January 9, 2025 at 11:33 AM","Burlington","Battery St","BATTERY ST","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU000553","Burlington PD","2","999.99","None/Other","Day","Main St","None","None","","VT0040100","Four-way Intersection","","Battery St","","0000","44.47573483007711,-73.21868140336417"
"8014642","","January 9, 2025 at 11:49 AM","Burlington","S Union","S UNION ST","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU000555","Burlington PD","2","999.99","None/Other","Day","Maple St","None","None","","VT0040100","Four-way Intersection","","S Union","","0000","44.47385251325881,-73.20882953251596"
"8012802","","January 9, 2025 at 2:10 PM","Burlington","Pine St","SHELBURNE ST","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU000567","Burlington PD","2","999.99","None/Other","Day","Flynn Ave","None","None","","VT0040100","T - Intersection","","Pine St","","0000","44.45513491673756,-73.20861562401079"
"8012120","","January 9, 2025 at 6:30 PM","Burlington","Main St","US-2","Property Damage Only","","","State Highway numbered route, Class 1 TH","25BU000586","Burlington PD","11","0.234","None/Other","Night","S Prospect St","None","None","","VT0040100","Four-way Intersection","","Main St","","0020","44.47636170732793,-73.20070297254959"
"8011600","","January 10, 2025 at 12:12 AM","Burlington","North Ave","NORTH AVE.","Property Damage Only","Rear End","Clear","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU000593","Burlington PD","2","0.355","None/Other","Night","Ward St","Alcohol","None","","VT0040100","Not at a Junction","Unknown","North Ave","Wet","U5026","44.48631692521792,-73.22383128051783"
"8015335","","January 10, 2025 at 12:27 PM","Burlington","42 Park St","PARK ST.","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU000634","Burlington PD","2","0.087","None/Other","Day","42 Park St","None","None","","VT0040100","Not at a Junction","","42 Park St","","U5036","44.48167959957774,-73.21911741968711"
"8011190","","January 10, 2025 at 7:51 PM","Burlington","187 Pearl St","Unknown","Injury","Rear End","Clear","Other Public Roadway (Rest Areas, Shopping Center - anything open to public)","25BU000656","Burlington PD","9","999.99","None/Other","Night","187 Pearl St","None","None","","VT0040100","Parking Lot","None","187 Pearl St","Wet","0000","44.480612342063985,-73.21152598053264"
"8013691","","January 11, 2025 at 11:05 AM","Burlington","N/S Willard St","PEARL ST","Property Damage Only","No Turns, Thru moves only, Broadside ^<","Freezing Precipitation","Private Property (Driveways)","25BU000687","Burlington PD","8","999.99","None/Other","Day","Pearl St","None","None","","VT0040100","Driveway","Road Surface Condition(wet, icy, snow, slush, etc)","N/S Willard St","Snow","0000","44.480728117484404,-73.2059210637911"
"8013922","","January 11, 2025 at 2:21 PM","Burlington","N Winooski Ave","ALTERNATE US-7","Property Damage Only","","","State Highway numbered route, Class 1 TH","25BU000698","Burlington PD","11","999.99","None/Other","Day","Riverside Ave","None","None","","VT0040100","Four-way Intersection","","N Winooski Ave","","9993","44.48967492442815,-73.20570209899985"
"8013111","","January 11, 2025 at 2:28 PM","Burlington","42 N Winooski Ave","ALTERNATE US-7","Property Damage Only","Same Direction Sideswipe","Freezing Precipitation","State Highway numbered route, Class 1 TH","25BU000699","Burlington PD","11","1.29","None/Other","Day","","Alcohol","None","","VT0040100","Not at a Junction","None","42 N Winooski Ave","Snow","9993","44.481781160014435,-73.21128518753154"
"8010700","","January 11, 2025 at 2:44 PM","Burlington","42 N Winooski Ave","ALTERNATE US-7","Property Damage Only","","","State Highway numbered route, Class 1 TH","25BU000702","Burlington PD","11","1.278","None/Other","Day","","None","None","","VT0040100","Not at a Junction","","42 N Winooski Ave","","9993","44.481607237228964,-73.21127455386849"
"8014320","","January 11, 2025 at 3:10 PM","Burlington","127 Exit Ramp (North Ave Beaches)","RAMP L","Property Damage Only","","","Ramp or Spur","25BU000703","Burlington PD","7","999.99","None/Other","Day","Ethan Allen Homestead","None","None","","VT0040100","Off Ramp","","127 Exit Ramp (North Ave Beaches)","","0000","44.5023922829546,-73.22986096422002"
"8012410","","January 11, 2025 at 3:38 PM","Burlington","122 Maple St","MAPLE ST","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU000704","Burlington PD","2","0.186","None/Other","Day","122 Maple St","None","None","","VT0040100","Not at a Junction","","122 Maple St","","0000","44.47361323010294,-73.21467930456038"
"8013855","","January 11, 2025 at 4:00 PM","Burlington","S Prospect St","US-2","Property Damage Only","","","State Highway numbered route, Class 1 TH","25BU000832","Burlington PD","11","","None/Other","Day","Main St","None","None","","VT0040100","Four-way Intersection","","S Prospect St","","0020","44.47636859306955,-73.20068994949924"
"8015478","","January 12, 2025 at 4:31 AM","Burlington","Main St","US-2","Property Damage Only","Rear End","Cloudy","State Highway numbered route, Class 1 TH","25BU001161","Burlington PD","11","0.001","None/Other","Night","S Prospect St","Alcohol","None","","VT0040100","Four-way Intersection","None","Main St","Wet","0020","44.47619384061831,-73.20548201734853"
"8014672","","January 12, 2025 at 11:43 AM","Burlington","37 Ledge Rd","LEDGE RD","Property Damage Only","Single Vehicle Crash","Clear","Other Public Roadway (Rest Areas, Shopping Center - anything open to public)","25BU000738","Burlington PD","9","999.99","None/Other","Day","Iranistan Rd","None","None","","VT0040100","Other - Explain in Narrative","Road Surface Condition(wet, icy, snow, slush, etc)","37 Ledge Rd","Slush","0000","44.463052220285576,-73.20607244185658"
"8013235","","January 12, 2025 at 3:09 PM","Burlington","East Ave","EAST AVE.","Property Damage Only","Left Turn and Thru, Broadside v<--","Clear","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU000757","Burlington PD","2","0.115","None/Other","Day","Carrigan Dr","None","None","","VT0040100","Not at a Junction","None","East Ave","Wet","U5016","44.474201594736456,-73.19054380781463"
"8013188","","January 13, 2025 at 6:43 AM","Burlington","College St","COLLEGE ST.","Property Damage Only","Right Turn and Thru, Same Direction Sideswipe/Angle Crash ^^--","Cloudy","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU000787","Burlington PD","2","0.598","None/Other","Day","Hungerford Terr","None","None","","VT0040100","T - Intersection","None","College St","Wet","U5068","44.47741442420857,-73.20697465510986"
"8011628","","January 13, 2025 at 6:55 AM","Burlington","94 N Willard St","US-7","Property Damage Only","","","State Highway numbered route, Class 1 TH","25BU000788","Burlington PD","11","2.636","None/Other","Day","94 N Willard St","None","None","","VT0040100","Not at a Junction","","94 N Willard St","","0070","44.483665835821135,-73.20584766101942"
"8011051","","January 13, 2025 at 12:03 PM","Burlington","Saint Paul St","SAINT PAUL ST","Injury","Left Turn and Thru, Angle Broadside -->v--","Cloudy","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU000816","Burlington PD","2","0.648","None/Other","Day","Main St","None","Bicycle","","VT0040100","Four-way Intersection","None","Saint Paul St","Wet","0000","44.47585545324058,-73.21401015735456"
"8012255","","January 14, 2025 at 7:32 AM","Burlington","300 Main St","MAIN ST.","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU000858","Burlington PD","2","0.644","None/Other","Day","","None","None","","VT0040100","Not at a Junction","","300 Main St","","U5022","44.476151946760474,-73.20686066572033"
"8013808","","January 14, 2025 at 2:00 PM","Burlington","65 Main St","MAIN ST.","Property Damage Only","Other - Explain in Narrative","Clear","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU000924","Burlington PD","2","0.163","None/Other","Day","","None","None","","VT0040100","Not at a Junction","None","65 Main St","Slush","U5022","44.47582093440269,-73.21568351112779"
"8012602","","January 14, 2025 at 7:58 PM","Burlington","Main St","MAIN ST","Property Damage Only","Single Vehicle Crash","Clear","Street or Town Highways in FA Urban Area","25BU000905","Burlington PD","5","999.99","None/Other","Night","University Pl","None","None","","VT0040100","T - Intersection","Unknown","Main St","Dry","0000","44.47640537086123,-73.1990940878647"
"8012328","","January 15, 2025 at 7:17 AM","Burlington","128 Park St","PARK ST","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU000921","Burlington PD","2","999.99","None/Other","Day","North St/Park St","None","None","","VT0040100","Not at a Junction","","128 Park St","","0000","44.4871053058647,-73.21944959129051"
"8015549","","January 15, 2025 at 7:41 AM","Burlington","32 Intervale Ave","INTERVALE AVE","Property Damage Only","","","Street or Town Highways in FA Urban Area","25BU000926","Burlington PD","5","999.99","None/Other","Day","32 Intervale Ave","None","None","","VT0040100","Not at a Junction","","32 Intervale Ave","","0000","44.48602192066837,-73.21282373377362"
"8013764","","January 15, 2025 at 2:52 PM","Burlington","595 Shelburne Rd","Unknown","Property Damage Only","","","Other Public Roadway (Rest Areas, Shopping Center - anything open to public)","25BU000954","Burlington PD","9","999.99","None/Other","Day","Shelburne Rd Shopping Plaza","None","None","","VT0040100","Parking Lot","","595 Shelburne Rd","","0000","44.44995122949005,-73.21006057748332"
"8014231","","January 15, 2025 at 4:20 PM","Burlington","Beltline","VT ROUTE 127","Fatal","Head On","Clear","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU000960","Burlington PD","2","0.755","None/Other","Day","North Avenue","None","None","","VT0040100","Not at a Junction","None","Beltline","Dry","0000","44.49667086324078,-73.22726648956181"
"8014744","","January 15, 2025 at 10:37 PM","Burlington","243 Colchester Ave","COLCHESTER AVE.","Injury","Head On","Clear","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU000976","Burlington PD","2","0.513","None/Other","Night","","None","None","","VT0040100","Not at a Junction","None","243 Colchester Ave","Dry","U5014","44.48276577207224,-73.1914316514478"
"8014185","","January 16, 2025 at 8:33 AM","Burlington","Shelburne Rd","SHELBURNE ST","Property Damage Only","","","Street or Town Highways in FA Urban Area","25BU000993","Burlington PD","5","999.99","None/Other","Day","Home Ave","None","None","","VT0040100","Four-way Intersection","","Shelburne Rd","","0000","44.45073176238735,-73.20900211212829"
"8013599","","January 16, 2025 at 4:52 PM","Burlington","College St","COLLEGE ST","Property Damage Only","","","Street or Town Highways in FA Urban Area","25BU001029","Burlington PD","5","999.99","None/Other","Day","S Williams St","None","None","","VT0040100","Four-way Intersection","","College St","","0000","44.47762274841595,-73.20309317663502"
"8011006","","January 16, 2025 at 6:04 PM","Burlington","Saint Paul St","MAPLE ST","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU001032","Burlington PD","2","0.496","None/Other","Night","Maple St","None","None","","VT0040100","Four-way Intersection","","Saint Paul St","","0000","44.47386426044648,-73.20830231511148"
"8014701","","January 17, 2025 at 5:48 AM","Burlington","280 Pearl St","PEARL ST.","Injury","No Turns, Thru moves only, Broadside ^<","Cloudy","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU001053","Burlington PD","2","0.605","None/Other","Night","280 Pearl St","None","None","","VT0040100","Other - Explain in Narrative","None","280 Pearl St","Dry","U5038","44.480608106422366,-73.20734344204975"
"8013300","","January 17, 2025 at 8:56 AM","Burlington","60 College St","DISC","Property Damage Only","","","Other Public Roadway (Rest Areas, Shopping Center - anything open to public)","25BU001067","Burlington PD","9","999.99","None/Other","Day","60 College St","None","None","","VT0040100","Parking Lot","","60 College St","","0000","44.47795840260588,-73.21713749338078"
"8013647","","January 17, 2025 at 5:07 PM","Burlington","Main St","US-2","Property Damage Only","","","State Highway numbered route, Class 1 TH","25BU001117","Burlington PD","11","1.34","None/Other","Night","S Prospect St","None","None","","VT0040100","Four-way Intersection","","Main St","","0020","44.4763685159624,-73.20070251787378"
"8011639","","January 18, 2025 at 3:27 PM","Burlington","Vermont Route 127","VT ROUTE 127","Property Damage Only","Left Turn and Thru, Angle Broadside -->v--","Clear","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU001193","Burlington PD","2","999.99","None/Other","Day","Plattsburgh Ave","None","None","","VT0040100","T - Intersection","None","Vermont Route 127","Dry","0000","44.522846018078674,-73.25507360616771"
"8013774","","January 19, 2025 at 3:42 PM","Burlington","709 North Ave","NORTH AVE.","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU001255","Burlington PD","2","1.414","Deer","Day","Rt 127","None","None","","VT0040100","Not at a Junction","","709 North Ave","","U5026","44.49897024920537,-73.23405226479193"
"8011822","","January 19, 2025 at 5:54 PM","Burlington","Shelburne St","I-189","Property Damage Only","Left Turn and Thru, Same Direction Sideswipe/Angle Crash vv--","Clear","Ramp or Spur","25BU001264","Burlington PD","7","0.031","None/Other","Night","I-89W","None","None","","VT0040100","Four-way Intersection","None","Shelburne St","Dry","1890","44.44833615940983,-73.20918430766874"
"8011945","","January 20, 2025 at 1:44 PM","Burlington","351 Shelburne St","US-7","Property Damage Only","","","State Highway numbered route, Class 1 TH","25BU001300","Burlington PD","11","0.677","None/Other","Day","Flynn Ave","None","None","","VT0040100","Not at a Junction","","351 Shelburne St","","0070","44.45557529054648,-73.20855324503589"
"8015058","","January 21, 2025 at 5:36 AM","Burlington","300 Pearl St","PEARL ST","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU001325","Burlington PD","2","0.654","None/Other","Night","","None","None","","VT0040100","Not at a Junction","","300 Pearl St","","0000","44.48063451498373,-73.20640634732726"
"8011092","","January 21, 2025 at 6:57 AM","Burlington","539 Main St","US-2","Property Damage Only","Rear End","","State Highway numbered route, Class 1 TH","25BU001326","Burlington PD","11","0.427","None/Other","Day","University Terrace","None","None","","VT0040100","Not at a Junction","None","539 Main St","Dry","0020","44.47561114608752,-73.1970261419513"
"8013335","","January 21, 2025 at 11:05 AM","Burlington","133 Saint Paul St","SAINT PAUL ST","Property Damage Only","Rear End","Clear","Street or Town Highways in FA Urban Area","25BU001341","Burlington PD","5","999.99","None/Other","Day","Main St","None","None","","VT0040100","Not at a Junction","None","133 Saint Paul St","Dry","0000","44.47605195791058,-73.2140346814212"
"8013849","","January 22, 2025 at 8:56 AM","Burlington","Main St","US-2","Property Damage Only","","","State Highway numbered route, Class 1 TH","25BU001407","Burlington PD","11","0.751","None/Other","Day","Spear St","None","None","","VT0040100","Four-way Intersection","","Main St","","0020","44.46793802979351,-73.17627665281869"
"8014269","","January 22, 2025 at 9:12 AM","Burlington","36-38 Carrigan Dr","CARRIGAN DR","Property Damage Only","Same Direction Sideswipe","Clear","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25UV000647","UVM Police","2","0.176","None/Other","Day","Carrigan Dr, East Ave","None","None","","VT0041100","Four-way Intersection","None","36-38 Carrigan Dr","Dry","0000","44.47505825531559,-73.19079426773393"
"8011446","","January 22, 2025 at 2:00 PM","Burlington","111 Colchester Ave","Unknown","Property Damage Only","","","Other Public Roadway (Rest Areas, Shopping Center - anything open to public)","25BU001493","Burlington PD","9","999.99","None/Other","Day","","None","None","","VT0040100","Parking Lot","","111 Colchester Ave","","0000","44.48088654724909,-73.19476057673107"
"8011624","","January 23, 2025 at 10:52 AM","Burlington","Lafountain St","NORTH ST.","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU001471","Burlington PD","2","0.353","None/Other","Day","North St","None","None","","VT0040100","T - Intersection","","Lafountain St","","U5032","44.48469618598989,-73.21524259191905"
"8014388","","January 23, 2025 at 12:59 PM","Burlington","Carrigan Dr","EAST AVE.","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU001483","Burlington PD","2","0.176","None/Other","Day","East Ave","None","None","","VT0040100","Four-way Intersection","","Carrigan Dr","","U5016","44.47505825531559,-73.19079426773393"
"8011001","","January 25, 2025 at 12:51 AM","Burlington","College St","COLLEGE ST","Injury","No Turns, Thru moves only, Broadside ^<","","Street or Town Highways in FA Urban Area","25BU001592","Burlington PD","5","999.99","None/Other","Night","Battery St","None","None","","VT0040100","Four-way Intersection","None","College St","Dry","0000","44.4768861188259,-73.21878352108915"
"8012094","","January 25, 2025 at 2:20 AM","Burlington","603 Riverside Ave","US-7","Injury","Single Vehicle Crash","Clear","State Highway numbered route, Class 1 TH","25BU001599","Burlington PD","11","3.061","None/Other","Night","Hyde St","Alcohol","None","","VT0040100","T - Intersection","None","603 Riverside Ave","Dry","0070","44.48968139384001,-73.20543971164089"
"8012324","","January 25, 2025 at 7:14 AM","Burlington","210 Shelburne St","US-7","Property Damage Only","","","State Highway numbered route, Class 1 TH","25BU001605","Burlington PD","11","0.925","None/Other","Day","Alfred St","None","None","","VT0040100","Not at a Junction","","210 Shelburne St","","0070","44.459088322229825,-73.208228274661"
"8014846","","January 25, 2025 at 2:02 PM","Burlington","Shelburne St","US-7","Property Damage Only","","","State Highway numbered route, Class 1 TH","25BU001623","Burlington PD","11","0.671","None/Other","Day","Flynn Ave","None","None","","VT0040100","T - Intersection","","Shelburne St","","0070","44.4554903859086,-73.20856276684948"
"8013367","","January 25, 2025 at 7:56 PM","Burlington","S Willard St","S UNION ST","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU001636","Burlington PD","2","999.99","None/Other","Night","Pearl St","None","None","","VT0040100","Four-way Intersection","","S Willard St","","0000","44.4805630327463,-73.20932559665776"
"8010935","","January 26, 2025 at 2:48 AM","Burlington","Main St","MAIN ST.","Property Damage Only","No Turns, Thru moves only, Broadside ^<","Clear","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU001658","Burlington PD","2","0.712","None/Other","Night","S Willard St","None","None","","VT0040100","Four-way Intersection","None","Main St","Dry","U5022","44.47619117847433,-73.20561271931294"
"8013760","","January 26, 2025 at 1:47 PM","Burlington","Oak St","MANHATTAN DR.","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU001706","Burlington PD","2","0.312","None/Other","Day","Manhattan Dr","None","None","","VT0040100","T - Intersection","","Oak St","","U5056","44.49034387684693,-73.21401561668797"
"8012951","","January 26, 2025 at 2:48 PM","Burlington","137 Northgate Rd","Unknown","Property Damage Only","","","Private Property (Driveways)","25BU001713","Burlington PD","8","999.99","None/Other","Day","Northgate Rd","None","None","","VT0040100","Driveway","","137 Northgate Rd","","0000","44.51985802087332,-73.26591553737718"
"8012158","","January 27, 2025 at 7:22 AM","Burlington","North Ave","NORTH AVE.","Injury","Rear End","Clear","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU001745","Burlington PD","2","2.577","None/Other","Day","Goss Ct","None","None","","VT0040100","Not at a Junction","None","North Ave","Dry","U5026","44.51050820408075,-73.24968820775327"
"8011170","","January 27, 2025 at 5:15 PM","Burlington","111 Colchester Ave","UVM MEDICAL CENTER","Injury","No Turns, Thru moves only, Broadside ^<","Clear","Other Public Roadway (Rest Areas, Shopping Center - anything open to public)","25BU001809","Burlington PD","9","999.99","None/Other","Night","Hospital Entrance Driveway","None","Bicycle","","VT0040100","Other - Explain in Narrative","None","111 Colchester Ave","Dry","0000","44.480302051473785,-73.19616149595888"
"8012599","","January 27, 2025 at 5:53 PM","Burlington","180 Intervale Ave","INTERVALE AVE","Property Damage Only","Right Turn and Thru, Head On v^--","Clear","Street or Town Highways in FA Urban Area","25BU001813","Burlington PD","5","999.99","None/Other","Night","Riverside Ave","None","None","","VT0040100","Not at a Junction","None","180 Intervale Ave","Dry","0000","44.49007567251485,-73.20929002019327"
"8014039","","January 27, 2025 at 8:02 PM","Burlington","1014 North Ave","NORTH AVE","Injury","Head On","Clear","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU001734","Burlington PD","2","1.971","None/Other","Night","Ethan Allen Pkwy","Alcohol","Heavy Truck","","VT0040100","Not at a Junction","None","1014 North Ave","Dry","0000","44.50448840740111,-73.2415482352186"
"8014848","","January 28, 2025 at 9:52 AM","Burlington","300 Flynn Ave","TOWN ROAD 0201","Property Damage Only","","","Street or Town Highways in FA Urban Area","25BU001843","Burlington PD","5","999.99","None/Other","Day","300 Flynn Ave","None","None","","VT0040100","Not at a Junction","","300 Flynn Ave","","T0201","44.45550743332354,-73.21526691912663"
"8014724","","January 28, 2025 at 1:41 PM","Burlington","Shelburne St","US-7","Property Damage Only","Same Direction Sideswipe","Clear","State Highway numbered route, Class 1 TH","25BU001859","Burlington PD","11","0.96","None/Other","Day","Alfred St","None","None","","VT0040100","T - Intersection","None","Shelburne St","Dry","0070","44.45958407285406,-73.20818139371094"
"8013167","","January 28, 2025 at 4:09 PM","Burlington","93 Lafountain St","LAFOUNTAIN ST","Property Damage Only","Head On","Clear","Street or Town Highways in FA Urban Area","25BU001877","Burlington PD","5","999.99","None/Other","Day","","None","None","","VT0040100","Not at a Junction","None","93 Lafountain St","Dry","0000","44.48771525746597,-73.21547184977703"
