"ObjectID","Mapped","Crash Date","City/Town","Address","AOT Route","Crash Type","Collision Direction","Weather","Road Group","Report Number","Reporting Agency","Road Group ID","AOT Actual Milepoint","Animal","Time of Day","Intersection With","Impairment","Involving","Non Reportable Address","Reporting Agency ID","Road Characteristics","Road Condition","Street Address","Surface Condition","AOT Route ID","Coordinates"
"8164669","","April 3, 2026 at 2:50 PM","Burlington","89 Buell St","BUELL ST","Property Damage Only","No Turns, Thru moves only, Broadside ^<","Clear","Private Property (Driveways)","26BU006288","Burlington PD","8","999.99","None/Other","Day","Hungerford Ter","None","None","","VT0040100","Driveway","None","89 Buell St","Dry","0000","44.4791070681236,-73.20756074183052"
"8085350","","April 3, 2026 at 2:58 PM","Burlington","South Willard St","US-7","Injury","No Turns, Thru moves only, Broadside ^<","Cloudy","State Highway numbered route, Class 1 TH","26BU006290","Burlington PD","11","2.121","None/Other","Day","Main St","None","None","","VT0040100","Four-way Intersection","None","South Willard St","Dry","0070","44.47619327232782,-73.20550253767293"
"8090290","","April 3, 2026 at 4:13 PM","Burlington","Pearl St","PEARL ST","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","26BU006293","Burlington PD","2","0.918","None/Other","Day","N Prospect St","None","None","","VT0040100","Not at a Junction","","Pearl St","","0000","44.48075574347098,-73.20099742013618"
"8092187","","April 3, 2026 at 5:10 PM","Burlington","Saint Paul St","SAINT PAUL ST","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","26BU006294","Burlington PD","2","0.521","None/Other","Day","Maple St","None","None","","VT0040100","Not at a Junction","","Saint Paul St","","0000","44.47401513793037,-73.21386715409069"
"8091927","","April 3, 2026 at 5:49 PM","Burlington","230 N Champlain St","N CHAMPLAIN ST","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","26BU006298","Burlington PD","2","0.462","None/Other","Day","Maple St","None","None","","VT0040100","Not at a Junction","","230 N Champlain St","","0000","44.487016711716905,-73.21791531518552"
"8164049","","April 4, 2026 at 1:54 PM","Burlington","111 Colchester Ave","Unknown","Property Damage Only","Same Direction Sideswipe","Clear","Other Public Roadway (Rest Areas, Shopping Center - anything open to public)","26BU006378","Burlington PD","9","999.99","None/Other","Day","Beaumont Ave","None","Heavy Truck","","VT0040100","Other - Explain in Narrative","None","111 Colchester Ave","Dry","0000","44.47841318432368,-73.1930343102585"
"8137155","","April 6, 2026 at 12:33 PM","Burlington","228 N Winooski Ave","ALTERNATE US-7","Property Damage Only","","","State Highway numbered route, Class 1 TH","26BU006528","Burlington PD","11","1.642","None/Other","Day","N Union St","None","None","","VT0040100","Not at a Junction","","228 N Winooski Ave","","9993","44.48642161810712,-73.20969062488312"
"8109215","","April 6, 2026 at 12:36 PM","Burlington","Grove St","GROVE ST","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","26BU006529","Burlington PD","2","0.54","None/Other","Day","Chase St","None","None","","VT0040100","Not at a Junction","","Grove St","","0000","44.48737651050964,-73.18348985311636"
"8095076","","April 7, 2026 at 12:09 PM","Burlington","Winooski Bridge","US-7","Property Damage Only","","","State Highway numbered route, Class 1 TH","26BU006609","Burlington PD","11","4.15","None/Other","Day","Colchester Ave","None","None","","VT0040100","Y - Intersection","","Winooski Bridge","","0070","44.48860145550724,-73.18662060928185"
"8087110","","April 7, 2026 at 2:42 PM","Burlington","555 Shelburne St","US-7","Injury","No Turns, Thru moves only, Broadside ^<","Wind","State Highway numbered route, Class 1 TH","26BU006619","Burlington PD","11","0.168","None/Other","Day","555 Shelburne St","None","None","","VT0040100","Four-way Intersection","None","555 Shelburne St","Snow","0070","44.44836609269987,-73.20922641533471"
"8099954","","April 8, 2026 at 9:13 PM","Burlington","N Champlain St","N CHAMPLAIN ST","Property Damage Only","Single Vehicle Crash","Clear","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","26BU006716","Burlington PD","2","0.138","None/Other","Night","Sherman St","None","None","","VT0040100","Not at a Junction","None","N Champlain St","Dry","0000","44.48230982126083,-73.21756140418022"
"8100282","","April 9, 2026 at 9:32 AM","Burlington","300-308 Pearl St","PEARL ST","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","26BU006743","Burlington PD","2","0.634","None/Other","Day","Burlington Health And Rehab Parking Lot","None","None","","VT0040100","Not at a Junction","","300-308 Pearl St","","0000","44.480621679065145,-73.20678871768474"
"8164309","","April 9, 2026 at 9:56 AM","Burlington","24 Cayuga Ct","CAYUGA CT","Property Damage Only","","","Street or Town Highways in FA Urban Area","26BU006747","Burlington PD","5","999.99","None/Other","Day","North Ave","None","None","","VT0040100","Not at a Junction","","24 Cayuga Ct","","0000","44.51423596180099,-73.25335250041269"
"8164341","","April 9, 2026 at 12:24 PM","Burlington","41 Cherry St","Unknown","Property Damage Only","","","Other Public Roadway (Rest Areas, Shopping Center - anything open to public)","26BU006757","Burlington PD","9","999.99","None/Other","Day","Lakeview Parking Garage","None","None","","VT0040100","Parking Lot","","41 Cherry St","","0000","44.4795331869977,-73.21715678377505"
"8092718","","April 10, 2026 at 9:50 AM","Burlington","N Union St","N UNION ST","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","26BU006843","Burlington PD","2","0.408","None/Other","Day","N Winooski Ave","None","None","","VT0040100","Y - Intersection","","N Union St","","0000","44.486288913138424,-73.20979194434486"
"8117310","","April 10, 2026 at 2:22 PM","Burlington","S Winooski Ave","ALTERNATE US-7","Injury","Left Turn and Thru, Same Direction Sideswipe/Angle Crash vv--","Cloudy","State Highway numbered route, Class 1 TH","26BU006871","Burlington PD","11","1.03","None/Other","Day","Bank St","None","None","","VT0040100","Not at a Junction","None","S Winooski Ave","Dry","9993","44.47801403062854,-73.21109769792278"
